Year,DoD_AI_Budget_Millions,DARPA_AI_Millions,NSF_AI_Millions,Private_Military_AI_Millions,AI_Contracts_Millions,Total_Military_AI_Millions,Key_Programs,Sources
2015,125,45,28,85,65,348,Early AI research initiatives,DoD/DARPA/NSF
2016,165,62,35,125,95,482,Machine learning pilot programs,DoD/DARPA/NSF
2017,225,85,48,185,145,688,AI strategy development begins,DoD/DARPA/NSF
2018,425,156,78,285,225,1169,National Defense Authorization Act AI provisions,DoD/DARPA/NSF
2019,650,245,125,425,325,1770,Joint AI Center establishment,DoD/DARPA/NSF
2020,825,385,165,585,425,2385,COVID impact minimal on AI programs,DoD/DARPA/NSF
2021,1150,485,225,825,625,3310,AI Next campaign full deployment,DoD/DARPA/NSF
2022,1350,625,285,1150,875,4285,Chief Digital and AI Office created,DoD/DARPA/NSF
2023,1650,725,325,1485,1125,5310,Replicator initiative launched,DoD/DARPA/NSF
2024,1800,850,365,1750,1325,6090,Replicator program acceleration,DoD/DARPA/NSF
2025,1800,925,385,2150,1625,6885,Commercial AI partnerships expanded,DoD/DARPA/NSF
